gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
CAMLG,0.1043804356659975,0.10579227987888701,27,0.20113773522599535,0.20137663475279133,75,0.15275908544599642,0.1043804356659975,75,132,27.0,75.0,27.0,STAT6
SP2,0.16357106196269497,0.16589323292125815,1670,0.14157149419274034,0.14275234343530824,1020,0.15257127807771764,0.14157149419274034,1670,133,1670.0,1020.0,1020.0,STAT6
BRAT1,0.003684139414135794,0.004348983833920726,20,0.3007355826270708,0.3018139684741812,143,0.1522098610206033,0.003684139414135794,143,134,20.0,143.0,20.0,STAT6
CAMSAP1,0.09906439059794549,0.10275195233723475,862,0.20508932816003464,0.20701470244220677,517,0.15207685937899007,0.09906439059794549,862,135,862.0,517.0,517.0,STAT6
EMC2,0.23442589212384174,0.2347071824891774,250,0.06957131876108934,0.07039984294467827,465,0.15199860544246555,0.06957131876108934,465,136,250.0,465.0,250.0,STAT6
RAB11FIP1,0.1437135354616473,0.14685813722678526,587,0.1602369927967661,0.16289168871533016,217,0.1519752641292067,0.1437135354616473,587,137,587.0,217.0,217.0,STAT6
RPE,0.13567027866971856,0.1413392183686419,116,0.16717423235438655,0.170568309054867,325,0.15142225551205257,0.13567027866971856,325,138,116.0,325.0,116.0,STAT6
SMARCD1,0.09055058389345401,0.09134118423847314,53,0.21217138236526606,0.2121189218541121,83,0.15136098312936003,0.09055058389345401,83,139,53.0,83.0,53.0,STAT6
PRPF38B,0.08708288546747313,0.08723123724252303,133,0.2154417280436735,0.21691949352023415,83,0.1512623067555733,0.08708288546747313,133,140,133.0,83.0,83.0,STAT6
PCGF1,0.10111609982601605,0.10428237458280741,947,0.20106229186225655,0.20331146740926012,1078,0.1510891958441363,0.10111609982601605,1078,141,947.0,1078.0,947.0,STAT6
FDX1,0.08140562301972273,0.08287640277258079,78,0.220699172190042,0.22557058390934107,156,0.15105239760488237,0.08140562301972273,156,142,78.0,156.0,78.0,STAT6
LIN37,0.11162977128471593,0.112673213303635,258,0.1904344770205982,0.19035177882033089,24,0.15103212415265707,0.11162977128471593,258,143,258.0,24.0,24.0,STAT6
EMC3,0.18317534841112743,0.18349909370741976,53,0.11672832090887497,0.11719803675652171,156,0.1499518346600012,0.11672832090887497,156,144,53.0,156.0,53.0,STAT6
HPS1,0.15385899434350006,0.15433819766554494,302,0.1433516035452482,0.14350026578857863,230,0.14860529894437413,0.1433516035452482,302,145,302.0,230.0,230.0,STAT6
CD247,0.18214012067070207,0.1926212747336064,4329,0.1131109538804189,0.11512876429153691,827,0.1476255372755605,0.1131109538804189,4329,146,4329.0,827.0,827.0,STAT6
KMT2B,0.2670319022581485,0.2683123577408234,123,0.0279272433797401,0.028099041836553228,56,0.1474795728189443,0.0279272433797401,123,147,123.0,56.0,56.0,STAT6
MTERF2,-0.005408530086149043,-0.005138921154427328,20,0.29968498549714867,0.30151831011904223,31,0.1471382277054998,-0.005408530086149043,31,148,20.0,31.0,20.0,STAT6
GPATCH8,0.20922468574284311,0.20973524662053802,177,0.08467598014309143,0.08454028138758489,220,0.14695033294296728,0.08467598014309143,220,149,177.0,220.0,177.0,STAT6
TP73,-0.0038853705106084873,-0.003266094156263022,109,0.29769919231039543,0.2992274849940056,95,0.14690691089989347,-0.0038853705106084873,109,150,109.0,95.0,95.0,STAT6
THRAP3,0.25395228546830956,0.2579918995613474,835,0.03895762935133441,0.039653203235291416,259,0.14645495740982198,0.03895762935133441,835,151,835.0,259.0,259.0,STAT6
HEXIM1,0.1250373239791394,0.12750892519779755,247,0.166199724988288,0.16908326347105937,1357,0.1456185244837137,0.1250373239791394,1357,152,247.0,1357.0,247.0,STAT6
RBM5,0.02681811678150074,0.026522365429264356,167,0.2635259186940778,0.26347453455237857,306,0.1451720177377893,0.02681811678150074,306,153,167.0,306.0,167.0,STAT6
YBX1,0.07777145967049486,0.07817884751772423,31,0.2125367975174272,0.21395146261167786,155,0.14515412859396104,0.07777145967049486,155,154,31.0,155.0,31.0,STAT6
NCAPD3,0.06820726423919167,0.06991733441596133,42,0.22113022905725543,0.22418046985092355,78,0.14466874664822355,0.06820726423919167,78,155,42.0,78.0,42.0,STAT6
