gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
DOP1B,0.10609343750185131,0.10439138727089625,610,0.20633588889298063,0.20565336292686137,3240,0.15621466319741598,0.10609343750185131,3240,136,610.0,3240.0,610.0,GATA3
EIF4A1,0.07240767290520819,0.05970716017027711,227,0.24000325894325883,0.24405182455360663,538,0.1562054659242335,0.07240767290520819,538,137,227.0,538.0,227.0,GATA3
SUMO2,0.15813273853261495,0.1729476444863461,29,0.1537233635439957,0.1621043425704324,20,0.15592805103830532,0.1537233635439957,29,138,29.0,20.0,20.0,GATA3
OTUD4,0.1394925814417846,0.13857559609500242,35,0.1721557133717148,0.16615419592798505,22,0.1558241474067497,0.1394925814417846,35,139,35.0,22.0,22.0,GATA3
SLC25A1,0.14383441800522737,0.15425822144318446,86,0.16778681635073012,0.16708560956042234,376,0.15581061717797873,0.14383441800522737,376,140,86.0,376.0,86.0,GATA3
ACTR3,0.18851763145073033,0.19590062466944042,208,0.1215236132985002,0.13973584810436387,116,0.15502062237461528,0.1215236132985002,208,141,208.0,116.0,116.0,GATA3
PTCD2,0.11937272124428897,0.12529023625727365,42,0.19053234896187737,0.19076753129933705,699,0.15495253510308316,0.11937272124428897,699,142,42.0,699.0,42.0,GATA3
CPSF6,0.14174163959595157,0.15668310108551273,2486,0.16810800558005637,0.18638180116679054,1389,0.15492482258800397,0.14174163959595157,2486,143,2486.0,1389.0,1389.0,GATA3
SHLD1,0.11313280198053023,0.10538004413963344,486,0.1965690169700624,0.20428159453529704,383,0.1548509094752963,0.11313280198053023,486,144,486.0,383.0,383.0,GATA3
ZEB1,0.13251200229370041,0.12328856447371989,215,0.17621383052656503,0.17814222965088242,415,0.15436291641013272,0.13251200229370041,415,145,215.0,415.0,215.0,GATA3
EIF3J,0.19590927047716034,0.20005126277068608,234,0.1123814156779836,0.10800827026676403,252,0.15414534307757197,0.1123814156779836,252,146,234.0,252.0,234.0,GATA3
CCDC93,0.118231788306587,0.11855889267888434,91,0.1861372098011271,0.20941538732414594,402,0.15218449905385706,0.118231788306587,402,147,91.0,402.0,91.0,GATA3
MIPEP,0.13227487400350105,0.15220469443307605,413,0.17064946383930746,0.18179372673619196,2143,0.15146216892140424,0.13227487400350105,2143,148,413.0,2143.0,413.0,GATA3
TFAM,0.12935566329563467,0.1356960357785476,817,0.17297980522981704,0.1873700454464166,2960,0.15116773426272584,0.12935566329563467,2960,149,817.0,2960.0,817.0,GATA3
HMBS,0.13038655833447085,0.15085780794764853,1046,0.17188434949339315,0.1862203872092326,723,0.15113545391393202,0.13038655833447085,1046,150,1046.0,723.0,723.0,GATA3
DHX9,0.19063346744777224,0.18350617782379497,66,0.11071440616383643,0.11902308337373546,187,0.15067393680580432,0.11071440616383643,187,151,66.0,187.0,66.0,GATA3
KRR1,0.15889621522627703,0.18496853504928232,145,0.14149379096397507,0.15903730178890552,41,0.15019500309512607,0.14149379096397507,145,152,145.0,41.0,41.0,GATA3
MED12,0.07934841414444342,0.10836713736064377,4141,0.22072398870291274,0.24921368486635453,2045,0.15003620142367807,0.07934841414444342,4141,153,4141.0,2045.0,2045.0,GATA3
EP300,0.17131037976409305,0.16847059970400183,158,0.12813748573282494,0.13562681875204896,177,0.149723932748459,0.12813748573282494,177,154,158.0,177.0,158.0,GATA3
HSPH1,0.14315415820346744,0.1510888065826808,73,0.15501090096848164,0.15367247053923785,121,0.14908252958597454,0.14315415820346744,121,155,73.0,121.0,73.0,GATA3
RSBN1L,0.21595370757486,0.1909579406500648,178,0.08187482389275252,0.07387374654179206,39,0.14891426573380626,0.08187482389275252,178,156,178.0,39.0,39.0,GATA3
